store_nbr,family,rmsle,rmse,mae,train_days,val_days,test_days
1,AUTOMOTIVE,0.788563348127713,4.26538959382338,3.5483870967741935,1642,31,15
1,BABY CARE,0.0,0.0,0.0,1642,31,15
1,BEAUTY,0.587470924269331,2.8736848324283986,2.3225806451612905,1642,31,15
1,BEVERAGES,0.10921909738088219,252.57531613873246,200.8709677419355,1642,31,15
1,BOOKS,0.4403619881926538,0.672021505032247,0.3870967741935484,1642,31,15
1,BREAD/BAKERY,0.20120865195804685,52.83216555084871,43.53135483870968,1642,31,15
1,CELEBRATION,0.8330054534729296,10.375218614097854,7.516129032258065,1642,31,15
1,CLEANING,0.0950019732203397,57.43467537545477,50.67741935483871,1642,31,15
1,DAIRY,0.10631805679991557,63.60868271021679,50.903225806451616,1642,31,15
1,DELI,0.2106694322577295,28.75516902387267,22.874323225806453,1642,31,15
1,EGGS,0.13266284497828384,16.89149432836424,13.903225806451612,1642,31,15
1,FROZEN FOODS,0.2976492595337142,31.35215849774541,25.902967709677423,1642,31,15
1,GROCERY I,0.09881583674399504,241.2964312664725,181.51612903225808,1642,31,15
1,GROCERY II,0.47160436797694183,12.310499059614692,8.580645161290322,1642,31,15
1,HARDWARE,0.7945905732418893,1.7505759420922755,1.5161290322580645,1642,31,15
1,HOME AND KITCHEN I,0.6203788426329764,15.608103767780584,11.935483870967742,1642,31,15
1,HOME AND KITCHEN II,0.45601257105102305,10.57538224734309,8.483870967741936,1642,31,15
1,HOME APPLIANCES,0.7009142049553129,1.344043010064494,0.967741935483871,1642,31,15
1,HOME CARE,0.16666524724288093,30.368170943466662,23.70967741935484,1642,31,15
1,LADIESWEAR,0.45545764406235373,5.916079783099616,4.935483870967742,1642,31,15
1,LAWN AND GARDEN,0.5358566039615612,9.764980220649575,8.064516129032258,1642,31,15
1,LINGERIE,0.9858358714844561,9.055385138137417,7.032258064516129,1642,31,15
1,"LIQUOR,WINE,BEER",0.26599486583409815,19.110881885763746,14.064516129032258,1642,31,15
1,MAGAZINES,0.6970641727534242,3.910284207144688,3.2903225806451615,1642,31,15
1,MEATS,0.2759680678550137,114.00107474348403,69.14990367741936,1642,31,15
1,PERSONAL CARE,0.21291536334760933,28.531250552061614,22.548387096774192,1642,31,15
1,PET SUPPLIES,0.6827464439701483,4.18137190019519,3.4838709677419355,1642,31,15
1,PLAYERS AND ELECTRONICS,0.577488436908753,3.860469635478514,3.225806451612903,1642,31,15
1,POULTRY,0.22538964699782202,69.8671093446464,54.32280612903226,1642,31,15
1,PREPARED FOODS,0.17752875940937793,11.33239124987003,9.280516258064514,1642,31,15
1,PRODUCE,0.11373600312476367,299.9261492547367,225.80932580645168,1642,31,15
1,SCHOOL AND OFFICE SUPPLIES,0.0,0.0,0.0,1642,31,15
1,SEAFOOD,0.4292161962160883,9.632410063617753,7.945483977419355,1642,31,15
2,AUTOMOTIVE,0.8857949630652251,4.666282626286914,3.838709677419355,1642,31,15
2,BABY CARE,0.0,0.0,0.0,1642,31,15
